#1	
double load(8760,3) # P(kW) & Q (kvar)	
0, 0.842544752, 0.3370179008
3600, 0.747048288, 0.2988193152
7200, 0.673310512, 0.2693242048
10800, 0.662431168, 0.2649724672
14400, 0.685398672, 0.2741594688
18000, 0.722871968, 0.2891487872
21600, 0.910238448, 0.3640953792
25200, 1.23299232, 0.493196928
28800, 1.449370384, 0.5797481536
32400, 1.375632608, 0.5502530432
36000, 1.37200616, 0.548802464
39600, 1.386511952, 0.5546047808
43200, 1.43244696, 0.572978784
46800, 1.255959824, 0.5023839296
50400, 1.152001648, 0.4608006592
54000, 1.055296368, 0.4221185472
57600, 1.098813744, 0.4395254976
61200, 1.320027072, 0.5280108288
64800, 1.7225628, 0.68902512
68400, 1.971578896, 0.7886315584
72000, 1.918390992, 0.7673563968
75600, 1.69838648, 0.679354592
79200, 1.318818256, 0.5275273024
82800, 1.011778992, 0.4047115968
86400, 0.833148736, 0.3332594944
90000, 0.729739584, 0.2918958336
93600, 0.68743584, 0.274974336
97200, 0.668634176, 0.2674536704
100800, 0.695661568, 0.2782646272
104400, 0.730914688, 0.2923658752
108000, 0.923631744, 0.3694526976
111600, 1.267937216, 0.5071748864
115200, 1.381922304, 0.5527689216
118800, 1.277338048, 0.5109352192
122400, 1.217407744, 0.4869630976
126000, 1.270287424, 0.5081149696
129600, 1.378396992, 0.5513587968
133200, 1.19860608, 0.479442432
136800, 1.105772864, 0.4423091456
140400, 1.003538816, 0.4014155264
144000, 1.056418496, 0.4225673984
147600, 1.307890752, 0.5231563008
151200, 1.661597056, 0.6646388224
154800, 1.941271808, 0.7765087232
158400, 1.884866816, 0.7539467264
162000, 1.683924032, 0.6735696128
165600, 1.34549408, 0.538197632
169200, 1.01058944, 0.404235776
172800, 0.838270552, 0.3353082208
176400, 0.728314048, 0.2913256192
180000, 0.683385584, 0.2733542336
183600, 0.660921352, 0.2643685408
187200, 0.683385584, 0.2733542336
190800, 0.72122008, 0.288488032
194400, 0.89856928, 0.359427712
198000, 1.207156888, 0.4828627552
201600, 1.334848312, 0.5339393248
205200, 1.30647244, 0.522588976
208800, 1.214250856, 0.4857003424
212400, 1.26509096, 0.506036384
216000, 1.373865136, 0.5495460544
219600, 1.26509096, 0.506036384
223200, 1.1527698, 0.46110792
226800, 1.045177952, 0.4180711808
230400, 1.068824512, 0.4275298048
234000, 1.295831488, 0.5183325952
237600, 1.664717824, 0.6658871296
241200, 1.959117496, 0.7836469984
244800, 1.902365752, 0.7609463008
248400, 1.707281632, 0.6829126528
252000, 1.352583232, 0.5410332928
255600, 1.05227192, 0.420908768
259200, 0.8563149, 0.34252596
262800, 0.752375988, 0.3009503952
266400, 0.68505192, 0.274020768
270000, 0.675602928, 0.2702411712
273600, 0.70276878, 0.281107512
277200, 0.742926996, 0.2971707984
280800, 0.9448992, 0.37795968
284400, 1.308685392, 0.5234741568
288000, 1.391364072, 0.5565456288
291600, 1.250810316, 0.5003241264
295200, 1.196478612, 0.4785914448
298800, 1.262621556, 0.5050486224
302400, 1.313409888, 0.5253639552
306000, 1.221282216, 0.4885128864
309600, 1.107894312, 0.4431577248
313200, 0.99214416, 0.396857664
316800, 1.041751368, 0.4167005472
320400, 1.279157292, 0.5116629168
324000, 1.680739452, 0.6722957808
327600, 1.945311228, 0.7781244912
331200, 1.9193265, 0.7677306
334800, 1.681920576, 0.6727682304
338400, 1.347662484, 0.5390649936
342000, 1.03938912, 0.415755648
345600, 0.843279192, 0.3373116768
349200, 0.74194092, 0.296776368
352800, 0.697303824, 0.2789215296
356400, 0.680414112, 0.2721656448
360000, 0.71178072, 0.284712288
363600, 0.750385776, 0.3001543104
367200, 0.932553384, 0.3730213536
370800, 1.2968886, 0.51875544
374400, 1.418735808, 0.5674943232
378000, 1.33308084, 0.533232336
381600, 1.265521992, 0.5062087968
385200, 1.282411704, 0.5129646816
388800, 1.331874432, 0.5327497728
392400, 1.253457912, 0.5013831648
396000, 1.189518288, 0.4758073152
399600, 1.095418464, 0.4381673856
403200, 1.149706824, 0.4598827296
406800, 1.337906472, 0.5351625888
410400, 1.663636632, 0.6654546528
414000, 1.93628484, 0.774513936
417600, 1.866313176, 0.7465252704
421200, 1.674494304, 0.6697977216
424800, 1.348764144, 0.5395056576
428400, 1.10989536, 0.443958144
432000, 0.875353752, 0.3501415008
435600, 0.765476712, 0.3061906848
439200, 0.692225352, 0.2768901408
442800, 0.673912512, 0.2695650048
446400, 0.68978364, 0.275913456
450000, 0.722746752, 0.2890987008
453600, 0.78745212, 0.314980848
457200, 0.99499764, 0.397999056
460800, 1.308757632, 0.5235030528
464400, 1.419855528, 0.5679422112
468000, 1.38567156, 0.554268624
471600, 1.441830936, 0.5767323744
475200, 1.546824552, 0.6187298208
478800, 1.45892292, 0.583569168
482400, 1.389334128, 0.5557336512
486000, 1.230622848, 0.4922491392
489600, 1.222076856, 0.4888307424
493200, 1.39177584, 0.556710336
496800, 1.661585016, 0.6646340064
500400, 1.828842288, 0.7315369152
504000, 1.787333184, 0.7149332736
507600, 1.571241672, 0.6284966688
511200, 1.327070472, 0.5308281888
514800, 1.121966664, 0.4487866656
518400, 0.938769636, 0.3755078544
522000, 0.837247152, 0.3348988608
